tamanho do vetor	tempo decorrido
3220	0.438650
3230	0.452960
3240	0.442430
3250	0.454370
3260	0.444750
3270	0.457750
3280	0.453450
3290	0.468140
3300	0.458200
3310	0.473780
3320	0.464120
3330	0.475390
3340	0.467850
3350	0.483920
3360	0.476140
3370	0.489100
3380	0.478640
3390	0.494860
3400	0.485810
3410	0.502050
3420	0.494440
3430	0.503300
3440	0.505810
3450	0.514150
3460	0.500590
3470	0.521250
3480	0.507660
3490	0.523240
3500	0.512560
3510	0.531110
3520	0.519640
3530	0.535650
3540	0.525080
3550	0.539870
3560	0.530950
3570	0.545540
3580	0.534620
3590	0.555130
3600	0.541820
3610	0.562400
3620	0.549000
3630	0.569290
3640	0.559130
3650	0.569140
3660	0.571360
3670	0.578380
3680	0.566640
3690	0.584600
3700	0.572950
3710	0.588300
3720	0.580520
3730	0.602240
3740	0.587450
3750	0.628590
3760	0.782620
3770	0.638440
3780	0.601070
3790	0.621820
3800	0.608070
3810	0.622030
3820	0.611990
3830	0.633410
3840	0.617890
3850	0.641660
3860	0.631170
3870	0.638580
3880	0.653700
3890	0.655480
3900	0.640210
3910	0.661140
3920	0.648250
3930	0.670390
3940	0.652290
3950	0.677760
3960	0.665070
3970	0.699240
3980	0.671400
3990	0.688350
4000	0.674050
4010	0.697160
4020	0.680900
4030	0.706600
4040	0.685190
4050	0.711480
4060	0.697170
4070	0.744930
4080	0.700960
4090	0.714220
4100	0.706140
4110	0.725270
4120	0.711370
4130	0.737580
4140	0.718510
4150	0.739000
4160	0.726030
4170	0.749540
4180	0.800040
4190	0.792620
4200	0.893980
4210	0.786370
4220	0.747690
4230	0.767940
4240	0.759130
4250	0.782200
4260	0.769750
4270	0.793750
4280	0.789400
4290	0.790860
4300	0.778080
4310	0.801520
4320	0.791550
4330	0.806880
4340	0.793630
4350	0.813310
4360	0.800750
4370	0.821620
4380	0.810030
4390	0.837600
4400	0.819330
4410	0.834690
4420	0.823030
4430	0.852800
4440	0.840580
4450	0.866210
4460	0.852640
4470	0.857420
4480	0.840790
4490	0.862880
4500	0.854380
4510	0.872230
4520	0.859330
4530	0.878050
4540	0.864980
4550	0.894050
4560	0.872880
4570	0.903010
4580	0.881400
4590	0.905010
4600	0.889450
4610	0.908190
4620	0.911720
4630	0.919120
4640	0.907820
4650	0.927260
4660	0.916810
4670	0.936790
4680	0.920390
4690	0.970870
4700	0.932460
4710	0.948640
4720	0.938350
4730	0.963750
4740	0.943710
4750	0.976810
4760	0.952350
4770	1.023510
4780	0.956610
4790	1.002980
4800	0.970630
4810	0.999490
4820	0.976230
4830	1.016220
4840	0.986490
4850	1.018780
4860	0.989680
4870	1.027400
4880	1.004740
4890	1.032030
4900	1.006260
4910	1.037580
4920	1.015310
4930	1.057110
4940	1.019320
4950	1.049690
4960	1.034920
4970	1.065210
4980	1.048540
4990	1.108230
5000	1.082230
